Name,Assign,Checked,Status
Card 1,,No,
Card 2,,No,
Card 3,,No,
Aprender os conceitos do Node,,Yes,Durante a NLW
Aprender os conceitos de uma API,,Yes,Durante a NLW
Aprender sobre TypeScript,,Yes,Durante a NLW
Aprender sobre Express,,Yes,Durante a NLW
Aprender sobre TypeORM,,Yes,Durante a NLW
Aprender sobre Banco de dados,,Yes,Durante a NLW
Aprender sobre Migrations,,Yes,Durante a NLW
Aprender sobre Entidades,,Yes,Durante a NLW
Aprender sobre Controllers,,Yes,Durante a NLW
Aprender sobre Services,,Yes,Durante a NLW
Aprender sobre Middlewares,,Yes,Durante a NLW
Aprender sobre JWT,,Yes,Durante a NLW
Aprender sobre chaves estrangeiras,,Yes,Durante a NLW
Criar um projeto,,Yes,Durante a NLW
Criar rotas,,Yes,Durante a NLW
Criar banco de dados,,Yes,Durante a NLW
Configurar o banco de dados,,Yes,Durante a NLW
Conectar com o banco de dados,,Yes,Durante a NLW
Criar Migrations,,Yes,Durante a NLW
Criar Entidades,,Yes,Durante a NLW
Criar Controllers,,Yes,Durante a NLW
Criar services,,Yes,Durante a NLW
Criar Middlewares,,Yes,Durante a NLW
Tratar Erros,,Yes,Durante a NLW
Criar tabelas,,Yes,Durante a NLW
Criar chaves estrangeiras,,Yes,Durante a NLW
Criar sistema de tags,,Yes,Durante a NLW
Criar o sistema de usuários,,Yes,Durante a NLW
Criar o sistema de elogios,,Yes,Durante a NLW
Criar Token com JWT,,Yes,Durante a NLW
Criar o sistema de autenticação,,Yes,Durante a NLW
Classe personalizada de erro expansível através da criação de subclasses que herdam uma classe abstrada (OCP),,Yes,A milha extra
Banco de dados alterado para PostgreSQL,,Yes,A milha extra
Refatorar o código o máximo possivel,,Yes,A milha extra
Melhorar a arquitetura de pastas,,Yes,A milha extra
Melhorar a arquitetura de arquivos,,Yes,A milha extra
Criar novo sistema de busca,,Yes,A milha extra
Criar validators para os services afim de separar as validações da classe principal,,Yes,A milha extra
Fazer comentários pelo código,,Yes,A milha extra
Otimizar ainda mais o código,,No,Além da milha extra
Comentar o código inteiro,,No,Além da milha extra
Fazer testes com Jest,,No,Além da milha extra
Fazer sistema de disparo de e-mails (não foi feito na milha extra pela ausencia de um dominio),,No,Além da milha extra
Fazer o Front-end,,No,Além da milha extra
Colocar em produção,,No,Além da milha extra
